Unique id,Customer Remarks
3205034e-38b5-4afc-adb7-2736a63943a5,I am very disappointed with Shopzilla.The issue was not resolved.The customer care executive was polite enough though he was not able to resolve the issue.But I am appalled at the utter lack of responsibility and accountability of Shopzilla in providing tracking services.
5da0e227-ff4d-4ab5-9838-0aedd8feed2c,Very bad agent
2bdf6423-7744-4a3d-a4f2-a82dea562ddc,Good talk
1622eeae-67aa-466b-b9f8-c8c14f321f15,The way she talked with me is quite appropriate and nice as well. Shopzilla should hire these kind of executive for their customer support service.   bless you dear.
5acfc9ae-fa0d-4a24-a03e-bef0f5e8cd44,I selected for English language preference but it's goes into Hindi channel. But customer service executive doesn't understand English properly
aec2b3e7-64d4-4b7a-bcdc-bfbbabcdb29e,Worst Shopzilla customer service. Shopzilla shouldn't cancel order without ack from customer and also there's no compensation for customer satisfiaction. it makes us to move out from Shopzilla.
12d70594-6e46-4e2d-8fbb-9e2a8d349644,"Shopzilla customer service executive   was very helpful,I appreciate her to good future ahead in your company."
0e8cc4de-5fbe-49e5-8601-49e5197e7355,"Idiotic customer care executives, no solution from your end since April 28 th, call disconnected from the executive end"
ae91f703-9e80-4ada-b199-ef7f164335c9,"I ordered a sleeper which was delivered on 22nd july after that i didn't like its quality so i refunded the last date to pick up the product after refund was 25th july but my product didn't get picked up till 31st july.  And I was consoled to wait only 24 hours for 5 days after talking to the costumer care, even after that no one came for pickup, I felt very sad seeing the return policy of Shopzilla.  That's why I canceled myself last night, first time this happened to me ??"
e3d46e00-5cca-43c1-b8b7-8cb2ab3d2abd,poor customer service
095a9b11-9939-462d-b2cc-f5a023cfa4c7,Not at all happy with Shopzilla worst experience till date.   your customer representative said that phone exchange cannot be done due logistics issue and reason is not mentioned. If problem is from Shopzilla end then why end consumer has to bear consequences. Need to improve customer service and transparency in policies
979627b5-e0d6-4e23-8c60-7210b9b6e2b3,The executive was very polite and addressed all my concerns made sure to check-in and see if everything was resolved. It wasgood service. Thank you.
697e4978-65e9-4863-bb8a-48b4abdb948c,"Very helpful agent , the Team Managers should get more agent like her "
d4a9b9ac-1856-4906-9669-46a59d689cb3,While any issue we need to contact customer service it's be busy ..pls be in app itself to ....it's be very easy and comfortable 
4e9f58de-63c6-48b5-8e6d-fab64bc2419b,Not supportive customer care
64b1c8c3-bc60-410a-8747-1bf4f4a78fdb,Im happy with customer service...thanks
f01a1887-16eb-47c4-8129-7d7086df5c71,Best experience provided by Shopzilla customer service 
6500fe4f-1703-47a2-b70c-731acd4d63fc,"It was difficult to hear the staff , either the microphone was not efficiently working or there was a network issue ."
67338f0b-25af-40d2-a06c-7fbf256a0f34,I talk to Shopzilla staff before some time but they are very rude but when I talk this time to Shopzilla staff and she is very sweet and understanding and i love her nature thanku for being very kind and sweet.
d4533fcf-ea8e-4fc9-829c-a981ee489ef2,Customer support executive is very kind hearted 
17322385-fb98-4a0c-a5e7-1f6d481118d8,The customer service is very good 
4f562e81-ccfd-48fe-bb59-2e18a954b83b,Wen u assign a deliver partner for return make sure that the wishmaster agents shud du their responsibility...not instead of saying I m not capable of taking this item I can't take this return.....even ur app has flaws u shud specify tu an agent wat product he has tu tke frm custo.er cmng on door and seeing the product he says this is the trolley part I m hvng two wheeler...so u shud call customer care wat is this
462e49cc-9cdf-4031-a976-621e24de5ca5,Very nice person 
ee2fa123-5d27-4881-8353-2475ac0973d2,"Sellers with No return policy, are sending Incorrect products, incorrect size, poor quality products to customers. Please have a strict rule and sort out them and take action. "
820ef2cb-416e-4d0c-9253-c06d80a96f4d,"I like to talk with this guy , she was very humbleThankyou so much I appreciate ????"
afe566c9-b4ea-47f7-9803-f2f543939308,Nice person 
4aef04e0-d9e6-480c-aafa-9123072e4d11,"Please, do not do work with bad sellers, who send wrong items and fake products"
9fb89859-63a9-48df-bff8-d1c53e820dd0,I love his voice so preety please upgrade his post into manager in Shopzilla this person is very helpful thanks brother ????????
37cbb656-b9ad-4059-b752-b5d27f33eae3,very good person 
ddef5ed8-9af4-4d16-ab04-f337bbf56ee8,"Very wrost service nobody resolvoed without deliverying product delivery agent updating as product delivered it's absolutely wrong data leakaging without asking pin he has updated like this, what it shows? Till date am unable to connect with him also"
